Region,Year,Mean BMI (female)
Africa,2000,22.39387039342857
Africa,2000,26.455206789
Africa,2001,22.50236408257143
Africa,2001,26.553641412
Africa,2002,22.60965663514285
Africa,2002,26.649859507
Africa,2003,22.646187737352943
Africa,2003,26.59086359636364
Africa,2004,22.605029374375
Africa,2004,26.43243264923077
Africa,2005,22.705328009375
Africa,2005,26.520912237692308
Africa,2006,22.802931876875
Africa,2006,30.03584412
Africa,2006,26.3212768725
Africa,2007,22.89798091
Africa,2007,30.19036398
Africa,2007,26.400028093333333
Africa,2008,22.9904855009375
Africa,2008,30.34903842
Africa,2008,26.477606996666665
Africa,2009,23.017296977741932
Africa,2009,30.51132637
Africa,2009,26.437155462307693
Africa,2010,23.10547663935484
Africa,2010,30.67570039
Africa,2010,26.512195467692308
Africa,2011,23.192384581612902
Africa,2011,30.84169589
Africa,2011,26.586260593846152
Africa,2012,23.216547441666663
Africa,2012,31.00979711
Africa,2012,26.54933960642857
Africa,2013,23.237864312413794
Africa,2013,31.17981639
Africa,2013,26.52387964533333
Africa,2014,23.25592313285714
Africa,2014,31.35140993
Africa,2014,26.508785075625
Africa,2015,23.27076112703704
Africa,2015,31.52433642
Africa,2015,26.500779448235296
Africa,2016,23.34792242814815
Africa,2016,31.69788414
Africa,2016,26.58235011117647
All Countries,2000,22.773869228
All Countries,2000,32.148862050999995
All Countries,2000,26.873851437857144
All Countries,2001,22.85778810133333
All Countries,2001,32.228506847
All Countries,2001,26.952868307142857
All Countries,2002,22.94153563733333
All Countries,2002,32.304188074
All Countries,2002,27.030345737142856
All Countries,2003,23.02454780133333
All Countries,2003,32.376199933
All Countries,2003,27.10595334392857
All Countries,2004,23.106472678
All Countries,2004,32.444453441
All Countries,2004,27.179730496071425
All Countries,2005,23.186836238666668
All Countries,2005,32.28876565454545
All Countries,2005,27.14632880888889
All Countries,2006,23.265985506
All Countries,2006,32.35481030545455
All Countries,2006,27.214333254444448
All Countries,2007,23.223348625714287
All Countries,2007,32.41834542090909
All Countries,2007,27.201065976785717
All Countries,2008,23.163508293076923
All Countries,2008,32.48038182636364
All Countries,2008,27.192195110689653
All Countries,2009,23.23404707923077
All Countries,2009,32.54145644545454
All Countries,2009,27.260526723793102
All Countries,2010,22.989816801818183
All Countries,2010,32.38540721333333
All Countries,2010,27.08521784766667
All Countries,2011,23.058906505454544
All Countries,2011,32.4522069175
All Countries,2011,27.149381584333334
All Countries,2012,23.12698731818182
All Countries,2012,32.518875781666665
All Countries,2012,27.213205871666663
All Countries,2013,23.194434245454545
All Countries,2013,32.38655991
All Countries,2013,27.18319415344828
All Countries,2014,23.261203741818186
All Countries,2014,32.4628772
All Countries,2014,27.24245178862069
All Countries,2015,23.32719031
All Countries,2015,32.53927851153846
All Countries,2015,27.301477602413797
All Countries,2016,23.39204508272727
All Countries,2016,32.615708501538464
All Countries,2016,27.360284780689653
Caribbean,2000,22.39998548
Caribbean,2000,26.92166783428571
Caribbean,2001,22.53429736
Caribbean,2001,27.03003472142857
Caribbean,2002,22.6691237
Caribbean,2002,27.135766084285716
Caribbean,2003,22.80336106
Caribbean,2003,27.23897304857143
Caribbean,2004,22.93668771
Caribbean,2004,27.340084308571427
Caribbean,2005,23.06898244
Caribbean,2005,27.439440957142857
Caribbean,2006,23.19948773
Caribbean,2006,27.53771840428572
Caribbean,2007,23.32790258
Caribbean,2007,27.63522332571429
Caribbean,2008,23.45413528
Caribbean,2008,27.732523788571427
Caribbean,2009,23.57777266
Caribbean,2009,27.829839044285716
Caribbean,2010,23.69853018
Caribbean,2010,27.927593594285717
Caribbean,2011,23.81557423
Caribbean,2011,28.026288155714287
Caribbean,2012,23.92904578
Caribbean,2012,28.12523360571428
Caribbean,2013,24.03925605
Caribbean,2013,28.224720838571425
Caribbean,2014,24.14599966
Caribbean,2014,28.324145624285716
Caribbean,2015,24.24907324
Caribbean,2015,28.423337714285715
Caribbean,2016,24.34822336
Caribbean,2016,28.522172871428573
Central America,2000,26.454806647142856
Central America,2001,26.59769509428571
Central America,2002,26.734630175714283
Central America,2003,26.86592512142857
Central America,2004,26.99273332857143
Central America,2005,27.11560126
Central America,2006,27.235332577142856
Central America,2007,27.352542295714283
Central America,2008,27.46844906
Central America,2009,27.58385769142857
Central America,2010,30.02664019
Central America,2010,27.31108747833333
Central America,2011,30.14507373
Central America,2011,27.425758180000003
Central America,2012,30.2648549
Central America,2012,27.54015954333333
Central America,2013,30.38575477
Central America,2013,27.65401157
Central America,2014,30.50745281
Central America,2014,27.76691213333333
Central America,2015,30.62962794
Central America,2015,27.878709168333334
Central America,2016,30.75287977
Central America,2016,27.98895754333333
Central Asia,2000,24.44283866
