Region,Year,BMI Category,Proportion
Africa,2000,Healthy (NCDRisC (2017)),69.2
Africa,2000,Overweight or Obese (NCDRisC (2017)),16.0
Africa,2000,Underweight (NCDRisC (2017)),14.9
Africa,2001,Healthy (NCDRisC (2017)),69.0
Africa,2001,Overweight or Obese (NCDRisC (2017)),16.3
Africa,2001,Underweight (NCDRisC (2017)),14.7
Africa,2002,Healthy (NCDRisC (2017)),68.8
Africa,2002,Overweight or Obese (NCDRisC (2017)),16.6
Africa,2002,Underweight (NCDRisC (2017)),14.5
Africa,2003,Healthy (NCDRisC (2017)),68.7
Africa,2003,Overweight or Obese (NCDRisC (2017)),17.0
Africa,2003,Underweight (NCDRisC (2017)),14.4
Africa,2004,Healthy (NCDRisC (2017)),68.5
Africa,2004,Overweight or Obese (NCDRisC (2017)),17.3
Africa,2004,Underweight (NCDRisC (2017)),14.2
Africa,2005,Healthy (NCDRisC (2017)),68.3
Africa,2005,Overweight or Obese (NCDRisC (2017)),17.7
Africa,2005,Underweight (NCDRisC (2017)),14.0
Africa,2006,Healthy (NCDRisC (2017)),68.1
Africa,2006,Overweight or Obese (NCDRisC (2017)),18.1
Africa,2006,Underweight (NCDRisC (2017)),13.8
Africa,2007,Healthy (NCDRisC (2017)),67.9
Africa,2007,Overweight or Obese (NCDRisC (2017)),18.5
Africa,2007,Underweight (NCDRisC (2017)),13.6
Africa,2008,Healthy (NCDRisC (2017)),67.6
Africa,2008,Overweight or Obese (NCDRisC (2017)),19.0
Africa,2008,Underweight (NCDRisC (2017)),13.4
Africa,2009,Healthy (NCDRisC (2017)),67.4
Africa,2009,Overweight or Obese (NCDRisC (2017)),19.4
Africa,2009,Underweight (NCDRisC (2017)),13.2
Africa,2010,Healthy (NCDRisC (2017)),67.1
Africa,2010,Overweight or Obese (NCDRisC (2017)),19.9
Africa,2010,Underweight (NCDRisC (2017)),13.0
Africa,2011,Healthy (NCDRisC (2017)),66.9
Africa,2011,Overweight or Obese (NCDRisC (2017)),20.3
Africa,2011,Underweight (NCDRisC (2017)),12.8
Africa,2012,Healthy (NCDRisC (2017)),66.6
Africa,2012,Overweight or Obese (NCDRisC (2017)),20.8
Africa,2012,Underweight (NCDRisC (2017)),12.6
